t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
12/31/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3500,3900,3800
12/29/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3390,3800,3555
12/28/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3700,4050,3895
12/27/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1860,1860,1860
12/26/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1867,1867,1867
12/26/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3500,3850,3780
12/24/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3690,3980,3845
12/24/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1870,1870,1870
12/23/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1822,1822,1822
12/22/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3700,3950,3800
12/21/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1753,3652,3400
12/20/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1732,1732,1732
12/19/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1719,1719,1719
12/18/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3500,3800,3700
12/17/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1717,1717,1717
12/16/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1691,1691,1691
12/14/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1692,1692,1692
12/13/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1697,1697,1697
12/12/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1694,3770,3345
12/10/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3200,3200,3200
12/9/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1682,3455,3200
12/7/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1660,1660,1660
12/7/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3320,3880,3500
12/5/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1634,1634,1634
12/4/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3320,3320,3320
12/3/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1622,3452,2501
12/2/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1596,3651,3000
11/29/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1594,1594,1594
11/28/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1597,3250,3200
11/27/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,2800,2800,2800
11/26/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1597,1597,1597
11/25/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1597,1597,1597
11/23/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1571,3111,2875
11/23/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3360,3360,3360
11/22/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1571,3601,3251
11/21/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1571,3700,3400
11/20/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,3390,3390,3390
11/19/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1575,1575,1575
11/18/2020,Rice,1170,Tumsar,27,Maharashtra,506,Bhandara,Other,1580,1580,1580
11/17/2020,Rice,1351,Bhandara,27,Maharashtra,506,Bhandara,Other,2600,2600,2600
