t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,commodity
31-12-2020,Chikoo (Sapota),3111,Amrawati(Frui & Veg. Market),27,Maharashtra,503,Amravati,Other,1500,2000,1750,chikoo2020
31-12-2020,Chikoo (Sapota),172,Pune,27,Maharashtra,521,Pune,Other,1500,3000,2300,chikoo2020
31-12-2020,Chikoo (Sapota),176,Solapur,27,Maharashtra,526,Solapur,Other,900,3500,2500,chikoo2020
31-12-2020,Chikoo (Sapota),2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,1000,4000,2500,chikoo2020
31-12-2020,Chikoo (Sapota),168,Nasik,27,Maharashtra,516,Nashik,Other,1500,3500,2500,chikoo2020
31-12-2020,Chikoo (Sapota),581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2200,4000,3500,chikoo2020
31-12-2020,Chikoo (Sapota),1435,Shrirampur,27,Maharashtra,522,Ahmadnagar,Other,1500,2500,2000,chikoo2020
31-12-2020,Chikoo (Sapota),2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,1500,2500,2000,chikoo2020
30-12-2020,Chikoo (Sapota),2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,1500,2500,2000,chikoo2020
30-12-2020,Chikoo (Sapota),2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2000,3500,2500,chikoo2020
30-12-2020,Chikoo (Sapota),3111,Amrawati(Frui & Veg. Market),27,Maharashtra,503,Amravati,Other,1400,2000,1700,chikoo2020
30-12-2020,Chikoo (Sapota),168,Nasik,27,Maharashtra,516,Nashik,Other,1500,3500,2500,chikoo2020
30-12-2020,Chikoo (Sapota),176,Solapur,27,Maharashtra,526,Solapur,Other,1000,3000,1500,chikoo2020
30-12-2020,Chikoo (Sapota),163,Nagpur,27,Maharashtra,505,Nagpur,Other,2000,3500,3125,chikoo2020
30-12-2020,Chikoo (Sapota),1435,Shrirampur,27,Maharashtra,522,Ahmadnagar,Other,1500,2500,2000,chikoo2020
30-12-2020,Chikoo (Sapota),2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,1000,4500,2750,chikoo2020
30-12-2020,Chikoo (Sapota),1806,Akluj,27,Maharashtra,526,Solapur,Other,1500,2200,2000,chikoo2020
30-12-2020,Chikoo (Sapota),172,Pune,27,Maharashtra,521,Pune,Other,1000,2200,1600,chikoo2020
29-12-2020,Chikoo (Sapota),2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2000,3800,2500,chikoo2020
29-12-2020,Chikoo (Sapota),176,Solapur,27,Maharashtra,526,Solapur,Other,1000,4000,1500,chikoo2020
29-12-2020,Chikoo (Sapota),2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,1500,2500,2000,chikoo2020
29-12-2020,Chikoo (Sapota),163,Nagpur,27,Maharashtra,505,Nagpur,Other,2000,3500,3175,chikoo2020
29-12-2020,Chikoo (Sapota),172,Pune,27,Maharashtra,521,Pune,Other,1000,2200,1600,chikoo2020
29-12-2020,Chikoo (Sapota),2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,1000,4000,2500,chikoo2020
28-12-2020,Chikoo (Sapota),1806,Akluj,27,Maharashtra,526,Solapur,Other,1500,2300,2000,chikoo2020
28-12-2020,Chikoo (Sapota),1435,Shrirampur,27,Maharashtra,522,Ahmadnagar,Other,1000,2000,1550,chikoo2020
27-12-2020,Chikoo (Sapota),1806,Akluj,27,Maharashtra,526,Solapur,Other,1500,2200,2000,chikoo2020
27-12-2020,Chikoo (Sapota),1435,Shrirampur,27,Maharashtra,522,Ahmadnagar,Other,1500,2500,2000,chikoo2020
27-12-2020,Chikoo (Sapota),172,Pune,27,Maharashtra,521,Pune,Other,1500,3500,2500,chikoo2020
26-12-2020,Chikoo (Sapota),3111,Amrawati(Frui & Veg. Market),27,Maharashtra,503,Amravati,Other,1500,2000,1750,chikoo2020
26-12-2020,Chikoo (Sapota),176,Solapur,27,Maharashtra,526,Solapur,Other,900,3000,1500,chikoo2020
26-12-2020,Chikoo (Sapota),1435,Shrirampur,27,Maharashtra,522,Ahmadnagar,Other,1500,2000,1750,chikoo2020
26-12-2020,Chikoo (Sapota),1806,Akluj,27,Maharashtra,526,Solapur,Other,1500,2000,1800,chikoo2020
