t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,commodity
31-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6500,7000,6750,grapes2020
31-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2500,12000,7300,grapes2020
31-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,200,200,200,grapes2020
31-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,3000,5000,4000,grapes2020
31-12-2020,Grapes,2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,2500,3500,3000,grapes2020
30-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,16000,9500,grapes2020
30-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,5000,6000,5750,grapes2020
30-12-2020,Grapes,2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,2500,3500,3000,grapes2020
30-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,8000,7000,grapes2020
30-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,240,280,260,grapes2020
29-12-2020,Grapes,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,5000,10000,8000,grapes2020
29-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,4000,6000,5500,grapes2020
29-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,8000,7000,grapes2020
29-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,15000,9000,grapes2020
27-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,10000,6000,grapes2020
26-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,100,280,140,grapes2020
26-12-2020,Grapes,1803,Rahuri,27,Maharashtra,522,Ahmadnagar,Other,6500,6500,6500,grapes2020
26-12-2020,Grapes,2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,2500,3000,2750,grapes2020
26-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,5000,6000,5750,grapes2020
25-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,140,140,140,grapes2020
25-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,12000,7000,grapes2020
24-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,8000,7000,grapes2020
24-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,12000,7500,grapes2020
23-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,240,320,260,grapes2020
23-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,15000,9000,grapes2020
23-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,7000,6500,grapes2020
23-12-2020,Grapes,2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,2500,3000,2750,grapes2020
22-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,14000,8000,grapes2020
22-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,6000,8000,7000,grapes2020
22-12-2020,Grapes,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,10000,10000,10000,grapes2020
22-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,7000,6500,grapes2020
22-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,4000,5000,4750,grapes2020
22-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,80,200,150,grapes2020
21-12-2020,Grapes,2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,1500,5000,3200,grapes2020
21-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,4000,5000,4750,grapes2020
21-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,160,240,180,grapes2020
21-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,10500,8300,grapes2020
21-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,8000,7000,grapes2020
20-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,10500,8300,grapes2020
19-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,7000,6500,grapes2020
19-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,3000,4200,3600,grapes2020
18-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,7000,6500,grapes2020
18-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,13000,7500,grapes2020
17-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,240,320,260,grapes2020
17-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,7000,6500,grapes2020
17-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2500,3500,3000,grapes2020
17-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,2000,12000,7000,grapes2020
16-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,10000,6500,grapes2020
16-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,7500,6500,grapes2020
16-12-2020,Grapes,176,Solapur,27,Maharashtra,526,Solapur,Other,260,3200,1600,grapes2020
15-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,10000,6500,grapes2020
15-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,4000,5000,4750,grapes2020
15-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6000,8500,7250,grapes2020
14-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,4000,5000,4750,grapes2020
14-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,17000,10000,grapes2020
13-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,12000,7500,grapes2020
12-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,8000,6750,grapes2020
11-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,9000,7250,grapes2020
11-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,5000,6000,5750,grapes2020
11-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,15000,9000,grapes2020
10-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,15000,9000,grapes2020
10-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,8000,6750,grapes2020
10-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,3000,4500,3750,grapes2020
09-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7000,6000,grapes2020
09-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,3000,5000,4000,grapes2020
09-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,17000,10000,grapes2020
09-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,5000,6000,5750,grapes2020
08-12-2020,Grapes,163,Nagpur,27,Maharashtra,505,Nagpur,Other,5000,6000,5750,grapes2020
08-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,5000,7000,6000,grapes2020
07-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7200,6100,grapes2020
07-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,5000,12000,8500,grapes2020
06-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,15000,9000,grapes2020
05-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7500,6250,grapes2020
05-12-2020,Grapes,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2500,4000,3250,grapes2020
04-12-2020,Grapes,172,Pune,27,Maharashtra,521,Pune,Other,3000,15000,9000,grapes2020
04-12-2020,Grapes,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,8000,6500,grapes2020
