t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,commodity
21-12-2020,Mango,159,Jalgaon,27,Maharashtra,499,Jalgaon,Other,800,1200,1000,mango2020
24-11-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,7000,10000,8500,mango2020
04-11-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,12000,15000,13500,mango2020
24-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,4000,6000,5000,mango2020
22-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,10000,12000,11000,mango2020
16-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,11000,12000,11500,mango2020
15-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,11000,12000,11500,mango2020
14-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,10000,11000,10500,mango2020
11-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,7500,8500,8000,mango2020
04-09-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,7500,8500,8000,mango2020
31-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6500,7500,7000,mango2020
28-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6500,8000,7250,mango2020
27-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,6500,8000,7250,mango2020
25-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,4500,8000,6250,mango2020
24-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,4500,7500,6000,mango2020
22-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7000,6000,mango2020
21-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7000,6000,mango2020
19-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7000,6000,mango2020
18-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5000,7000,6000,mango2020
18-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,6000,6000,6000,mango2020
17-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,6500,6000,mango2020
14-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,7000,6250,mango2020
13-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,7000,6250,mango2020
12-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,7000,6250,mango2020
11-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,7000,6250,mango2020
10-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,4500,4500,4500,mango2020
10-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,6500,6000,mango2020
08-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,6500,6000,mango2020
07-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,6500,6000,mango2020
07-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2000,6000,4000,mango2020
07-08-2020,Mango,168,Nasik,27,Maharashtra,516,Nashik,Other,2000,5000,3500,mango2020
06-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,6500,6000,mango2020
06-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2000,6000,3000,mango2020
05-08-2020,Mango,1803,Rahuri,27,Maharashtra,522,Ahmadnagar,Other,200,2000,1425,mango2020
05-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,5500,6500,6000,mango2020
04-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,5000,5000,5000,mango2020
04-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,3000,6500,4750,mango2020
03-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,5500,5500,5500,mango2020
03-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,3000,6000,4500,mango2020
03-08-2020,Mango,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2000,3200,2600,mango2020
01-08-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,3000,6200,4600,mango2020
01-08-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,4000,5500,5000,mango2020
31-07-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,3000,6000,4500,mango2020
30-07-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,3000,6000,4500,mango2020
30-07-2020,Mango,176,Solapur,27,Maharashtra,526,Solapur,Other,2000,2000,2000,mango2020
30-07-2020,Mango,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,1500,2500,2000,mango2020
29-07-2020,Mango,168,Nasik,27,Maharashtra,516,Nashik,Totapuri,3000,5000,4000,mango2020
29-07-2020,Mango,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2500,4000,3000,mango2020
29-07-2020,Mango,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,3000,6000,4500,mango2020
