t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal,commodity
31-12-2021,Orange,172,Pune,27,Maharashtra,521,Pune,Other,1200,6800,4000,orange2021
31-12-2021,Orange,163,Nagpur,27,Maharashtra,505,Nagpur,Other,1000,3000,2500,orange2021
31-12-2021,Orange,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,2100,3500,2800,orange2021
30-12-2021,Orange,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2500,5000,3000,orange2021
30-12-2021,Orange,172,Pune,27,Maharashtra,521,Pune,Other,1400,6800,4100,orange2021
30-12-2021,Orange,168,Nasik,27,Maharashtra,516,Nashik,Other,2000,3500,3000,orange2021
30-12-2021,Orange,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,2100,3500,2800,orange2021
29-12-2021,Orange,2510,Chandrapur(Ganjwad),27,Maharashtra,509,Chandrapur,Other,2000,4000,3000,orange2021
29-12-2021,Orange,163,Nagpur,27,Maharashtra,505,Nagpur,Other,1200,3100,2250,orange2021
29-12-2021,Orange,168,Nasik,27,Maharashtra,516,Nashik,Other,2000,3500,3000,orange2021
29-12-2021,Orange,172,Pune,27,Maharashtra,521,Pune,Other,1200,6800,4000,orange2021
29-12-2021,Orange,2473,Mumbai- Fruit Market,27,Maharashtra,519,Mumbai,Other,2100,3500,2800,orange2021
29-12-2021,Orange,3111,Amrawati(Frui & Veg. Market),27,Maharashtra,503,Amravati,Other,1400,2000,1700,orange2021
29-12-2021,Orange,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,1000,2800,1900,orange2021
29-12-2021,Orange,3972,Kamthi,27,Maharashtra,505,Nagpur,Other,2000,3000,2800,orange2021
29-12-2021,Orange,2496,"Sangli(Phale, Bhajipura Market)",27,Maharashtra,531,Sangli,Other,2000,5000,3500,orange2021
28-12-2021,Orange,3972,Kamthi,27,Maharashtra,505,Nagpur,Other,2000,3000,2800,orange2021
