t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
12/31/2024,Bajra (Pearl Millet/Cumbu),2484,Lasalgaon(Niphad),27,Maharashtra,516,Nashik,Other,2401,2700,2401
12/31/2024,Bajra (Pearl Millet/Cumbu),174,Sangli,27,Maharashtra,531,Sangli,Other,2650,3400,3025
12/31/2024,Bajra (Pearl Millet/Cumbu),1820,Majalgaon,27,Maharashtra,523,Bid,Other,2400,4400,3000
12/31/2024,Bajra (Pearl Millet/Cumbu),2476,Shevgaon(Bodhegaon),27,Maharashtra,522,Ahmadnagar,Other,2500,2500,2500
12/31/2024,Bajra (Pearl Millet/Cumbu),2382,Rahata,27,Maharashtra,522,Ahmadnagar,Other,2100,2100,2100
12/31/2024,Bajra (Pearl Millet/Cumbu),1446,Karjat,27,Maharashtra,522,Ahmadnagar,Other,2500,2800,2500
12/31/2024,Bajra (Pearl Millet/Cumbu),1433,Shevgaon,27,Maharashtra,522,Ahmadnagar,Other,1800,2800,2800
12/31/2024,Bajra (Pearl Millet/Cumbu),1431,Kopargaon,27,Maharashtra,522,Ahmadnagar,Other,2400,2400,2400
12/31/2024,Bajra (Pearl Millet/Cumbu),1827,Shirur,27,Maharashtra,521,Pune,Other,2700,2700,2700
12/31/2024,Bajra (Pearl Millet/Cumbu),172,Pune,27,Maharashtra,521,Pune,Other,3400,4000,3700
12/31/2024,Bajra (Pearl Millet/Cumbu),162,Mumbai,27,Maharashtra,519,Mumbai,Other,2900,3500,3300
12/31/2024,Bajra (Pearl Millet/Cumbu),177,Kalyan,27,Maharashtra,517,Thane,Other,3000,3300,3150
12/31/2024,Bajra (Pearl Millet/Cumbu),2073,Devala,27,Maharashtra,516,Nashik,Other,2195,2300,2300
12/31/2024,Bajra (Pearl Millet/Cumbu),1448,Nandgaon,27,Maharashtra,516,Nashik,Other,2400,3020,2850
12/31/2024,Bajra (Pearl Millet/Cumbu),169,Lasalgaon,27,Maharashtra,516,Nashik,Other,2101,2252,2211
12/31/2024,Bajra (Pearl Millet/Cumbu),166,Malegaon,27,Maharashtra,516,Nashik,Other,2402,3100,2700
12/31/2024,Bajra (Pearl Millet/Cumbu),1817,Paithan,27,Maharashtra,515,Aurangabad,Other,2900,2900,2900
12/31/2024,Bajra (Pearl Millet/Cumbu),1470,Lasur Station,27,Maharashtra,515,Aurangabad,Other,2101,2975,2800
12/31/2024,Bajra (Pearl Millet/Cumbu),1469,Kannad,27,Maharashtra,515,Aurangabad,Other,2751,2925,2838
12/31/2024,Bajra (Pearl Millet/Cumbu),1468,Gangapur,27,Maharashtra,515,Aurangabad,Other,2700,2951,2855
12/31/2024,Bajra (Pearl Millet/Cumbu),581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2000,2700,2350
12/31/2024,Bajra (Pearl Millet/Cumbu),1822,Ambad (Vadigodri),27,Maharashtra,514,Jalna,Other,1841,3000,2770
12/31/2024,Bajra (Pearl Millet/Cumbu),158,Jalana,27,Maharashtra,514,Jalna,Other,2040,2950,2850
12/31/2024,Bajra (Pearl Millet/Cumbu),10078,Ramdev Krushi Bazaar,27,Maharashtra,510,Yavatmal,Other,2300,2500,2400
12/31/2024,Bajra (Pearl Millet/Cumbu),573,Pachora,27,Maharashtra,499,Jalgaon,Other,2400,2700,2551
12/31/2024,Bajra (Pearl Millet/Cumbu),571,Chalisgaon,27,Maharashtra,499,Jalgaon,Other,2100,3200,2751
12/31/2024,Bajra (Pearl Millet/Cumbu),570,Amalner,27,Maharashtra,499,Jalgaon,Other,2000,2902,2902
12/31/2024,Bajra (Pearl Millet/Cumbu),569,Dondaicha,27,Maharashtra,498,Dhule,Other,2461,2526,2461
12/31/2024,Bajra (Pearl Millet/Cumbu),157,Dhule,27,Maharashtra,498,Dhule,Other,2179,2950,2500
12/31/2024,Bajra (Pearl Millet/Cumbu),165,Nandurbar,27,Maharashtra,497,Nandurbar,Other,2200,2200,2200
12/30/2024,Bajra (Pearl Millet/Cumbu),157,Dhule,27,Maharashtra,498,Dhule,Other,1800,2736,2500
12/30/2024,Bajra (Pearl Millet/Cumbu),174,Sangli,27,Maharashtra,531,Sangli,Other,2800,3400,3100
12/30/2024,Bajra (Pearl Millet/Cumbu),10108,Om Chaitanya Multistate Agro Purpose CoOp Society,27,Maharashtra,522,Ahmadnagar,Other,2900,2900,2900
12/30/2024,Bajra (Pearl Millet/Cumbu),2476,Shevgaon(Bodhegaon),27,Maharashtra,522,Ahmadnagar,Other,2600,2600,2600
12/30/2024,Bajra (Pearl Millet/Cumbu),165,Nandurbar,27,Maharashtra,497,Nandurbar,Other,2500,2950,2725
12/30/2024,Bajra (Pearl Millet/Cumbu),1446,Karjat,27,Maharashtra,522,Ahmadnagar,Other,2300,2600,2300
12/30/2024,Bajra (Pearl Millet/Cumbu),172,Pune,27,Maharashtra,521,Pune,Other,3300,3900,3600
12/30/2024,Bajra (Pearl Millet/Cumbu),162,Mumbai,27,Maharashtra,519,Mumbai,Other,2900,3500,3300
12/30/2024,Bajra (Pearl Millet/Cumbu),2073,Devala,27,Maharashtra,516,Nashik,Other,2935,2935,2935
