t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
12/31/2024,Wheat,1450,Shahada,27,Maharashtra,497,Nandurbar,Other,2600,3000,2900
12/31/2024,Wheat,176,Solapur,27,Maharashtra,526,Solapur,Sharbati,2860,4260,3690
12/31/2024,Wheat,1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Maharashtra 2189,2375,3100,2701
12/31/2024,Wheat,1820,Majalgaon,27,Maharashtra,523,Bid,Other,2400,3351,2850
12/31/2024,Wheat,10108,Om Chaitanya Multistate Agro Purpose CoOp Society,27,Maharashtra,522,Ahmadnagar,Other,2800,3000,2800
12/31/2024,Wheat,2382,Rahata,27,Maharashtra,522,Ahmadnagar,Other,2650,3185,2800
12/31/2024,Wheat,1803,Rahuri,27,Maharashtra,522,Ahmadnagar,Other,3000,3125,3060
12/31/2024,Wheat,1446,Karjat,27,Maharashtra,522,Ahmadnagar,Other,2300,2800,2550
12/31/2024,Wheat,1433,Shevgaon,27,Maharashtra,522,Ahmadnagar,Maharashtra 2189,2800,2900,2900
12/31/2024,Wheat,1431,Kopargaon,27,Maharashtra,522,Ahmadnagar,Other,2500,3051,2900
12/31/2024,Wheat,1430,Jamkhed,27,Maharashtra,522,Ahmadnagar,Other,2400,3000,2700
12/31/2024,Wheat,162,Mumbai,27,Maharashtra,519,Mumbai,Other,2800,6000,4400
12/31/2024,Wheat,2068,Palghar,27,Maharashtra,517,Thane,Other,4305,4305,4305
12/31/2024,Wheat,1429,Ulhasnagar,27,Maharashtra,517,Thane,Other,3000,3400,3200
12/31/2024,Wheat,177,Kalyan,27,Maharashtra,517,Thane,Sharbati,2500,3500,3000
12/31/2024,Wheat,2484,Lasalgaon(Niphad),27,Maharashtra,516,Nashik,Maharashtra 2189,2827,3200,2975
12/31/2024,Wheat,2073,Devala,27,Maharashtra,516,Nashik,Maharashtra 2189,2800,2800,2800
12/31/2024,Wheat,169,Lasalgaon,27,Maharashtra,516,Nashik,Maharashtra 2189,2861,3551,3276
12/31/2024,Wheat,166,Malegaon,27,Maharashtra,516,Nashik,Other,2636,3315,2930
12/31/2024,Wheat,1817,Paithan,27,Maharashtra,515,Aurangabad,Bansi,2881,3386,3100
12/31/2024,Wheat,1470,Lasur Station,27,Maharashtra,515,Aurangabad,Other,2500,2900,2750
12/31/2024,Wheat,1469,Kannad,27,Maharashtra,515,Aurangabad,Other,1800,3000,2400
12/31/2024,Wheat,1468,Gangapur,27,Maharashtra,515,Aurangabad,Other,2700,3400,3000
12/31/2024,Wheat,582,Sillod,27,Maharashtra,515,Aurangabad,Other,2600,2750,2700
12/31/2024,Wheat,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2700,2922,2811
12/31/2024,Wheat,2500,Bhokardan(Pimpalgaon Renu),27,Maharashtra,514,Jalna,Other,2200,2500,2400
12/31/2024,Wheat,1467,Mangal Wedha,27,Maharashtra,526,Solapur,Other,2400,3110,3100
12/31/2024,Wheat,1822,Ambad (Vadigodri),27,Maharashtra,514,Jalna,Other,2631,3280,2820
12/31/2024,Wheat,1472,Partur,27,Maharashtra,514,Jalna,Maharashtra 2189,2200,2700,2400
12/31/2024,Wheat,158,Jalana,27,Maharashtra,514,Jalna,Other,2775,2950,2875
12/31/2024,Wheat,2088,Tadkalas,27,Maharashtra,513,Parbhani,Other,2500,2500,2500
12/31/2024,Wheat,589,Nanded,27,Maharashtra,511,Nanded,Sharbati,2680,2680,2680
12/31/2024,Wheat,607,Savner,27,Maharashtra,505,Nagpur,Other,2748,2855,2800
12/31/2024,Wheat,163,Nagpur,27,Maharashtra,505,Nagpur,Sharbati,3000,3500,3375
12/31/2024,Wheat,163,Nagpur,27,Maharashtra,505,Nagpur,Other,2665,3068,2967
12/31/2024,Wheat,1804,Wardha,27,Maharashtra,504,Wardha,Other,2750,2875,2800
12/31/2024,Wheat,2098,Nandgaon Khandeshwar,27,Maharashtra,503,Amravati,Other,2350,2580,2465
12/31/2024,Wheat,1478,Chandur Bazar,27,Maharashtra,503,Amravati,Other,2300,2300,2300
12/31/2024,Wheat,155,Amarawati,27,Maharashtra,503,Amravati,Other,2800,3000,2900
12/31/2024,Wheat,1800,Washim,27,Maharashtra,502,Washim,Maharashtra 2189,2350,2830,2550
12/31/2024,Wheat,1492,Mangrulpeer,27,Maharashtra,502,Washim,Kalyan,2700,2935,2800
12/31/2024,Wheat,593,Karanja,27,Maharashtra,502,Washim,Other,2725,2960,2895
12/31/2024,Wheat,1477,Telhara,27,Maharashtra,501,Akola,Other,2640,3030,3000
12/31/2024,Wheat,154,Akola,27,Maharashtra,501,Akola,Other,2500,3180,2890
12/31/2024,Wheat,10087,Maharaja Agresen Private Krushi Utappan Bazar Sama,27,Maharashtra,500,Buldana,Other,1900,2700,2500
12/31/2024,Wheat,2505,Jalgaon Jamod(Aasalgaon),27,Maharashtra,500,Buldana,Maharashtra 2189,2600,2800,2700
12/31/2024,Wheat,2101,Buldhana(Dhad),27,Maharashtra,500,Buldana,Other,2000,2900,2450
12/31/2024,Wheat,1485,Shegaon,27,Maharashtra,500,Buldana,Other,2400,2700,2700
12/31/2024,Wheat,1482,Mehekar,27,Maharashtra,500,Buldana,Other,2000,2700,2300
12/31/2024,Wheat,1481,Lonar,27,Maharashtra,500,Buldana,Other,2550,2800,2675
12/31/2024,Wheat,599,Malkapur,27,Maharashtra,500,Buldana,Other,2600,3036,2820
12/31/2024,Wheat,597,Chikali,27,Maharashtra,500,Buldana,Other,2300,2900,2625
12/31/2024,Wheat,156,Khamgaon,27,Maharashtra,500,Buldana,Other,2650,2810,2730
12/31/2024,Wheat,174,Sangli,27,Maharashtra,531,Sangli,Other,3500,4500,4000
12/31/2024,Wheat,1811,Tasgaon,27,Maharashtra,531,Sangli,Other,2540,2830,2720
12/31/2024,Wheat,1465,Karmala,27,Maharashtra,526,Solapur,Other,2300,2300,2300
12/31/2024,Wheat,1444,Raver,27,Maharashtra,499,Jalgaon,Other,2850,2980,2940
12/31/2024,Wheat,573,Pachora,27,Maharashtra,499,Jalgaon,Other,2350,2721,2551
12/31/2024,Wheat,572,Chopada,27,Maharashtra,499,Jalgaon,Other,2471,3150,2471
12/31/2024,Wheat,571,Chalisgaon,27,Maharashtra,499,Jalgaon,Other,2500,3301,2700
12/31/2024,Wheat,570,Amalner,27,Maharashtra,499,Jalgaon,Other,2850,2950,2950
12/31/2024,Wheat,569,Dondaicha,27,Maharashtra,498,Dhule,Other,2200,3072,2600
12/31/2024,Wheat,157,Dhule,27,Maharashtra,498,Dhule,Other,2100,3290,2850
12/30/2024,Wheat,1444,Raver,27,Maharashtra,499,Jalgaon,Other,2926,3045,2950
12/30/2024,Wheat,174,Sangli,27,Maharashtra,531,Sangli,Other,3500,4500,4000
12/30/2024,Wheat,2498,Kurdwadi(Modnimb),27,Maharashtra,526,Solapur,Other,2100,3400,2500
12/30/2024,Wheat,1465,Karmala,27,Maharashtra,526,Solapur,Other,2600,2611,2600
12/30/2024,Wheat,2477,Shrirampur(Belapur),27,Maharashtra,522,Ahmadnagar,Other,2400,2400,2400
12/30/2024,Wheat,2476,Shevgaon(Bodhegaon),27,Maharashtra,522,Ahmadnagar,Maharashtra 2189,2900,2900,2900
12/30/2024,Wheat,2382,Rahata,27,Maharashtra,522,Ahmadnagar,Other,2800,3290,3000
12/30/2024,Wheat,1803,Rahuri,27,Maharashtra,522,Ahmadnagar,Other,2600,3100,2850
12/30/2024,Wheat,1446,Karjat,27,Maharashtra,522,Ahmadnagar,Other,2800,2800,2800
12/30/2024,Wheat,1433,Shevgaon,27,Maharashtra,522,Ahmadnagar,Maharashtra 2189,2500,2700,2700
12/30/2024,Wheat,1431,Kopargaon,27,Maharashtra,522,Ahmadnagar,Other,2500,2997,2726
12/30/2024,Wheat,1430,Jamkhed,27,Maharashtra,522,Ahmadnagar,Other,2500,3000,2750
12/30/2024,Wheat,848,Sangamner,27,Maharashtra,522,Ahmadnagar,Other,2950,2950,2950
12/30/2024,Wheat,1827,Shirur,27,Maharashtra,521,Pune,Other,3000,3000,3000
12/30/2024,Wheat,576,Baramati,27,Maharashtra,521,Pune,Maharashtra 2189,2960,3400,3100
12/30/2024,Wheat,576,Baramati,27,Maharashtra,521,Pune,Kalyan,2700,3011,2950
12/30/2024,Wheat,162,Mumbai,27,Maharashtra,519,Mumbai,Other,2900,6000,4450
12/30/2024,Wheat,1429,Ulhasnagar,27,Maharashtra,517,Thane,Other,3000,3400,3300
12/30/2024,Wheat,1428,Vasai,27,Maharashtra,517,Thane,Other,3250,4250,3750
12/30/2024,Wheat,2484,Lasalgaon(Niphad),27,Maharashtra,516,Nashik,Maharashtra 2189,2800,3000,2830
12/30/2024,Wheat,1447,Kalvan,27,Maharashtra,516,Nashik,Other,2350,2350,2350
12/30/2024,Wheat,575,Manmad,27,Maharashtra,516,Nashik,Other,2800,3000,2888
12/30/2024,Wheat,169,Lasalgaon,27,Maharashtra,516,Nashik,Maharashtra 2189,2900,3491,3275
12/30/2024,Wheat,167,Yeola,27,Maharashtra,516,Nashik,Maharashtra 2189,2675,2850,2850
12/30/2024,Wheat,1470,Lasur Station,27,Maharashtra,515,Aurangabad,Other,2700,3300,2800
12/30/2024,Wheat,582,Sillod,27,Maharashtra,515,Aurangabad,Other,2650,2750,2700
12/30/2024,Wheat,581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2700,3001,2850
12/30/2024,Wheat,2089,Palam,27,Maharashtra,513,Parbhani,Other,3251,3251,3251
12/30/2024,Wheat,2090,Akhadabalapur,27,Maharashtra,512,Hingoli,Maharashtra 2189,2200,2300,2250
12/30/2024,Wheat,602,Yeotmal,27,Maharashtra,510,Yavatmal,Other,2700,2700,2700
12/30/2024,Wheat,1351,Bhandara,27,Maharashtra,506,Bhandara,Maharashtra 2189,2400,2400,2400
12/30/2024,Wheat,1506,Katol,27,Maharashtra,505,Nagpur,Other,2800,2800,2800
12/30/2024,Wheat,607,Savner,27,Maharashtra,505,Nagpur,Other,2700,2855,2800
12/30/2024,Wheat,163,Nagpur,27,Maharashtra,505,Nagpur,Sharbati,3000,3500,3375
12/30/2024,Wheat,163,Nagpur,27,Maharashtra,505,Nagpur,Other,2865,3060,3011
12/30/2024,Wheat,3969,Sindi(Selu),27,Maharashtra,504,Wardha,Other,2650,2800,2750
12/30/2024,Wheat,1804,Wardha,27,Maharashtra,504,Wardha,Other,2830,2895,2850
12/30/2024,Wheat,178,Hinganghat,27,Maharashtra,504,Wardha,Other,2750,2900,2800
12/30/2024,Wheat,595,Achalpur,27,Maharashtra,503,Amravati,Other,2700,2900,2800
12/30/2024,Wheat,155,Amarawati,27,Maharashtra,503,Amravati,Other,2800,3000,2900
12/30/2024,Wheat,1800,Washim,27,Maharashtra,502,Washim,Maharashtra 2189,2400,2830,2650
12/30/2024,Wheat,1492,Mangrulpeer,27,Maharashtra,502,Washim,Kalyan,2600,2930,2750
12/30/2024,Wheat,593,Karanja,27,Maharashtra,502,Washim,Other,2855,3000,2955
12/30/2024,Wheat,154,Akola,27,Maharashtra,501,Akola,Other,2300,2815,2595
12/30/2024,Wheat,1485,Shegaon,27,Maharashtra,500,Buldana,Other,2500,2700,2600
12/30/2024,Wheat,1483,Nandura,27,Maharashtra,500,Buldana,Other,2400,2800,2800
12/30/2024,Wheat,1482,Mehekar,27,Maharashtra,500,Buldana,Other,2000,2700,2500
12/30/2024,Wheat,599,Malkapur,27,Maharashtra,500,Buldana,Other,2710,3315,2800
12/30/2024,Wheat,597,Chikali,27,Maharashtra,500,Buldana,Other,2150,3000,2575
12/30/2024,Wheat,156,Khamgaon,27,Maharashtra,500,Buldana,Other,2600,2800,2700
12/30/2024,Wheat,573,Pachora,27,Maharashtra,499,Jalgaon,Other,2451,2650,2551
12/30/2024,Wheat,571,Chalisgaon,27,Maharashtra,499,Jalgaon,Other,2472,3041,2851
12/30/2024,Wheat,570,Amalner,27,Maharashtra,499,Jalgaon,Other,2700,3151,3151
12/30/2024,Wheat,1437,Shirpur,27,Maharashtra,498,Dhule,Other,2300,3001,2660
12/30/2024,Wheat,569,Dondaicha,27,Maharashtra,498,Dhule,Other,2100,3127,2900
12/30/2024,Wheat,157,Dhule,27,Maharashtra,498,Dhule,Other,2700,3500,2855
12/30/2024,Wheat,165,Nandurbar,27,Maharashtra,497,Nandurbar,Other,2640,2985,2800
