t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
12/31/2018,Jowar (Sorghum),1516,Parali Vaijyanath,27,Maharashtra,523,Bid,Jowar (Yellow),4450,4500,4475
12/31/2018,Jowar (Sorghum),1517,Kaij,27,Maharashtra,523,Bid,Jowar (Yellow),4491,4700,4500
12/31/2018,Jowar (Sorghum),1517,Kaij,27,Maharashtra,523,Bid,Red,2300,3000,2500
12/31/2018,Jowar (Sorghum),1820,Majalgaon,27,Maharashtra,523,Bid,Red,3252,3252,3252
12/31/2018,Jowar (Sorghum),1825,Ahmedpur,27,Maharashtra,524,Latur,Other,1500,2190,1800
12/31/2018,Jowar (Sorghum),1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Jowar ( White),2000,2701,2470
12/31/2018,Jowar (Sorghum),1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Jowar (Yellow),4000,4275,4125
12/31/2018,Jowar (Sorghum),1765,Murum,27,Maharashtra,525,Osmanabad,Jowar ( White),1700,1700,1700
12/31/2018,Jowar (Sorghum),2138,Paranda,27,Maharashtra,525,Osmanabad,Other,2500,3150,2850
12/31/2018,Jowar (Sorghum),1465,Karmala,27,Maharashtra,526,Solapur,Other,2000,2901,2311
12/31/2018,Jowar (Sorghum),174,Sangli,27,Maharashtra,531,Sangli,Other,2430,2450,2440
12/31/2018,Jowar (Sorghum),2384,Dhadgaon,27,Maharashtra,497,Nandurbar,Other,1600,1700,1650
12/31/2018,Jowar (Sorghum),1450,Shahada,27,Maharashtra,497,Nandurbar,Other,1721,1721,1721
12/31/2018,Jowar (Sorghum),165,Nandurbar,27,Maharashtra,497,Nandurbar,Other,1720,1989,1850
12/31/2018,Jowar (Sorghum),1430,Jamkhed,27,Maharashtra,522,Ahmadnagar,Other,2900,3400,3150
12/31/2018,Jowar (Sorghum),1513,Ambejaogai,27,Maharashtra,523,Bid,Jowar (Yellow),4620,4620,4620
12/31/2018,Jowar (Sorghum),1514,Gevrai,27,Maharashtra,523,Bid,Red,1700,1925,1900
12/31/2018,Jowar (Sorghum),1516,Parali Vaijyanath,27,Maharashtra,523,Bid,Other,1051,1700,1375
12/31/2018,Jowar (Sorghum),2075,Taloda,27,Maharashtra,497,Nandurbar,Other,1759,1866,1800
12/31/2018,Jowar (Sorghum),569,Dondaicha,27,Maharashtra,498,Dhule,Other,1661,1661,1661
12/31/2018,Jowar (Sorghum),2074,Navapur,27,Maharashtra,497,Nandurbar,Other,1700,1700,1700
12/31/2018,Jowar (Sorghum),1437,Shirpur,27,Maharashtra,498,Dhule,Jowar ( White),1750,2430,1791
12/31/2018,Jowar (Sorghum),571,Chalisgaon,27,Maharashtra,499,Jalgaon,Jowar ( White),1301,1671,1600
12/31/2018,Jowar (Sorghum),573,Pachora,27,Maharashtra,499,Jalgaon,Jowar ( White),1645,1697,1655
12/31/2018,Jowar (Sorghum),573,Pachora,27,Maharashtra,499,Jalgaon,Other,2695,2851,2751
12/31/2018,Jowar (Sorghum),1438,Bhusaval,27,Maharashtra,499,Jalgaon,Other,1740,1775,1750
12/31/2018,Jowar (Sorghum),1440,Dharangaon,27,Maharashtra,499,Jalgaon,Other,1675,1701,1695
12/31/2018,Jowar (Sorghum),1444,Raver,27,Maharashtra,499,Jalgaon,Other,1445,1770,1745
12/31/2018,Jowar (Sorghum),156,Khamgaon,27,Maharashtra,500,Buldana,Other,1530,1745,1637
12/31/2018,Jowar (Sorghum),597,Chikali,27,Maharashtra,500,Buldana,Other,1100,1900,1500
12/31/2018,Jowar (Sorghum),1483,Nandura,27,Maharashtra,500,Buldana,Other,1500,1870,1870
12/31/2018,Jowar (Sorghum),1485,Shegaon,27,Maharashtra,500,Buldana,Other,1350,1805,1650
12/31/2018,Jowar (Sorghum),1818,Deoulgaon Raja,27,Maharashtra,500,Buldana,Other,1701,2552,2300
12/31/2018,Jowar (Sorghum),154,Akola,27,Maharashtra,501,Akola,Other,1500,1900,1850
